Contrast,Delay,Diameter,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,351,0.2,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
1,0.343,350,0.343,0,0.04,2,0,0
