dmd,roi,n_events,event_rate_hz,false_pos_rate_hz,false_pos_frac,noise_sd_filtered,noise_dff,robust_snr,qc_flag,median_event_sd,p90_event_sd,frac_events_3_4sd_filtered,frac_events_gt4sd_filtered,median_event_raw_sd,frac_events_lt2sd,frac_events_2_4sd,frac_events_gt4sd,quality_class
1,0,7355,2.5481503550627473,0.0003464514418848059,0.00013596193065941537,0.672801174044609,0.3100084021925926,4.679240558221066,ok,5.437780380249023,10.169938087463379,0.24989802855200544,0.7501019714479945,5.439498966519368,0.19337167899205698,0.1495480690221857,0.6570802519857574,High SNR
1,1,5350,1.8535152140837114,0.0003464514418848059,0.00018691588785046728,0.7918995135784149,0.3700345923900604,2.9733192425404242,ok,4.061947822570801,6.133242845535278,0.4790654205607477,0.5209345794392524,3.868563726927974,0.19160104986876642,0.33727034120734906,0.47112860892388453,High SNR
1,2,3911,1.3549715892114758,0.006929028837696118,0.005113781641523907,0.6098583370685577,0.3170690424531698,2.5822857971226036,ok,4.417917728424072,10.002704620361328,0.4055228841728458,0.5944771158271542,4.1670985557367155,0.17533470648815655,0.29170957775489187,0.5329557157569516,High SNR
1,3,4616,1.599219855740264,0.01004709181465937,0.006282495667244367,0.4218088505208492,0.21201583072543143,2.847061913015616,ok,4.653412342071533,9.60691213607788,0.3680675909878683,0.6319324090121318,4.359270519065085,0.19633507853403143,0.25087260034904013,0.5527923211169284,High SNR
1,4,5652,1.958143549532923,0.0006929028837696118,0.00035385704175513094,0.8509258873343467,0.42303378914594647,3.1950281342053892,ok,4.585850715637207,8.80850925445557,0.3646496815286624,0.6353503184713376,4.458036376731908,0.19559424409308937,0.23219044235210518,0.5722153135548055,High SNR
1,5,4866,1.6858327162114655,0.0020787086513088353,0.0012330456226880395,0.5423545555830002,0.25483137475848194,3.0307507122204553,ok,4.3666887283325195,8.252999305725098,0.4087546239210851,0.5912453760789149,4.226088024930065,0.1995872033023736,0.2582043343653251,0.5422084623323014,High SNR
1,6,3501,1.2129264980387053,0.0003464514418848059,0.00028563267637817766,0.6938883402585982,0.32500847665071486,2.4791805880481177,ok,3.760289192199707,5.264594554901123,0.6023993144815767,0.3976006855184233,3.649562685104987,0.18072289156626506,0.39902467010900744,0.4202524383247275,Low SNR
1,7,4776,1.6546520864418328,0.003118062976963253,0.0018844221105527637,0.7377946333050728,0.37775833788514135,2.788129415886742,ok,4.406294822692871,8.129473209381104,0.4026381909547739,0.5973618090452262,4.037904258393825,0.1876709446665264,0.3046496949295182,0.5076793604039554,High SNR
1,8,3300,1.1432897582198593,0.006929028837696118,0.006060606060606061,0.41506044301986694,0.2036747776687145,2.3297188339910653,ok,3.9411091804504395,6.388096809387206,0.5206060606060606,0.4793939393939394,3.338559956280338,0.233201581027668,0.403466099118273,0.363332319854059,Low SNR
1,9,5074,1.757894616123505,0.002771611535078447,0.0015766653527788726,0.759349099266529,0.39077389070391655,2.9353808673479773,ok,4.638510704040527,8.822937870025633,0.35573512022073317,0.6442648797792668,5.0082367808923465,0.13044338875692796,0.20209817893903403,0.667458432304038,High SNR
1,10,3573,1.2378710018544115,0.002771611535078447,0.002239014833473272,0.6471185107111931,0.3226076446652412,2.375279595275653,ok,3.8427083492279053,5.935664176940919,0.5619927232017912,0.4380072767982088,3.6367642019307853,0.18194600674915637,0.40129358830146233,0.4167604049493813,Low SNR
1,11,3938,1.3643257781423657,0.007968383163350535,0.005840528186896902,0.466177892267704,0.23379228174090383,2.424894884323281,ok,4.022526741027832,6.63104386329651,0.4964448958862367,0.5035551041137634,3.58937011272055,0.19730142566191447,0.39078411405295316,0.4119144602851324,Low SNR
1,12,3211,1.1124555798921116,0.0041574173026176706,0.003737153534724385,0.6010236942350864,0.30765210860967634,2.273441024275742,ok,3.793520927429199,5.829626083374023,0.5823730924945499,0.41762690750545,3.446500993505942,0.18329177057356608,0.45542394014962595,0.361284289276808,Low SNR
1,13,2481,0.8595460273162034,0.0038109658607328647,0.004433696090286175,0.44102500616312024,0.21145207529067991,2.1769078284957244,ok,3.669304847717285,5.3068766593933105,0.6473196291817815,0.35268037081821846,3.1341139483982325,0.2202020202020202,0.4816161616161616,0.29818181818181816,Low SNR
1,14,3317,1.1491794327319012,0.006582577395811312,0.005728067530901417,0.6294984912335873,0.318906273651123,2.330587953443714,ok,3.8475639820098877,5.723197269439697,0.5583358456436539,0.4416641543563461,3.5048508836661494,0.19214501510574017,0.44682779456193356,0.3610271903323263,Low SNR
1,15,3156,1.0934007505884473,0.006582577395811312,0.006020278833967047,0.40146756999492644,0.20043849715590475,2.2655495382489748,ok,3.826798439025879,6.268249034881592,0.5630544993662865,0.43694550063371357,3.2442215192406714,0.23889593908629442,0.44289340101522845,0.31821065989847713,Low SNR
1,16,2431,0.8422540973943773,0.008315137119483774,0.009872480460715755,0.5547990624547005,0.28719581472873684,2.1256363774231386,ok,3.6205897331237793,5.09254264831543,0.6606334841628959,0.3393665158371041,3.562422296653653,0.15739596209311907,0.46683147919241863,0.3757725587144623,Low SNR
