subject,session,dmd,roi,context,n_events,seconds,rate_hz,quality_class
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,0,Blank,70,60.56996704762423,1.1556882628805334,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,0,Control (random ori),1764,1122.7593891760043,1.5711291457509908,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,0,Inter-stimulus,1869,1725.7190611429105,1.083026804352614,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,0,Oddball deviant,23,21.39998835758888,1.0747669398541388,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,0,Oddball standard,509,445.5847575848711,1.1423191465499134,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,0,RF mapping,160,119.36493506091574,1.3404271523990432,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,1,Blank,115,60.56996704762423,1.898630717589448,Intermediate
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,1,Control (random ori),1807,1122.7593891760043,1.6094276453356238,Intermediate
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,1,Inter-stimulus,2883,1725.7190611429105,1.6706079598440806,Intermediate
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,1,Oddball deviant,50,21.39998835758888,2.336449869248128,Intermediate
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,1,Oddball standard,705,445.5847575848711,1.582190566439467,Intermediate
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,1,RF mapping,221,119.4949349901908,1.8494507739440305,Intermediate
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,2,Blank,37,60.56996704762423,0.6108637960939962,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,2,Control (random ori),632,1122.7593891760043,0.5628988776160012,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,2,Inter-stimulus,1496,1725.7190611429105,0.8668850183582187,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,2,Oddball deviant,27,21.39998835758888,1.261682929393989,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,2,Oddball standard,485,445.5847575848711,1.088457340032825,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,2,RF mapping,19,119.4949349901908,0.1590025552259573,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,3,Blank,62,60.56996704762423,1.023609604265615,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,3,Control (random ori),976,1122.7593891760043,0.8692868742930653,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,3,Inter-stimulus,2412,1725.704061151071,1.3976904002828614,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,3,Oddball deviant,45,21.39998835758888,2.102804882323315,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,3,Oddball standard,813,445.5847575848711,1.8245686957663645,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,3,RF mapping,262,119.30993509083784,2.1959612986171155,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,4,Blank,72,60.56996704762423,1.188707927534263,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,4,Control (random ori),1516,1122.689389214087,1.350328964150308,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,4,Inter-stimulus,2043,1725.629061191874,1.1839160836738118,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,4,Oddball deviant,20,21.39998835758888,0.9345799476992512,High SNR
776270,sub-776270_ses-SLAP2-776270-2025-07-02-11-50-06,1,4,Oddball standard,460,445.5847575848711,1.0323512915775248,High SNR
